TCA, EAV , Rate ,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN,MSQ,WTR,TIF,SSA1,SSA2,SSA3,SSA4,
3028,"554,099",11.141823,532,34,117,,OMLCK,NWPRT,ANTIO,,,,,,,,,,
3029, -   , -   ,532,3,126,,,NWPRT,,,,,,,NLFPA,,,,
3030,"237,818",11.094139,532,24,121,,,NWPRT,WNNPT,,,,,,NLFPA,,,,
3031,"3,246,565",11.444238,532,24,121,,OMLCK,NWPRT,WNNPT,,,,,,NLFPA,,,,
3032,"10,979",12.737294,532,3,126,,OMLCK,NWPRT,WNNPT,,,,,,NLFPA,,,,
3033,"21,965",10.791724,532,34,117,,,NWPRT,ANTIO,,,,,,NLFPA,,,,
3034, -   , -   ,532,3,126,,OMLCK,NWPRT,,,,,,,NLFPA,,,,
3035,"88,333",11.141823,532,34,117,,OMLCK,NWPRT,ANTIO,,,,,,NLFPA,,,,
3036, -   , -   ,532,24,121,,OMLCK,NWPRT,WNNPT,LNDHT,,,,,,,,,
3037, -   , -   ,532,24,121,,OMLCK,NWPRT,WNNPT,LNDHT,LNDHT,,,,,,,,
3038, -   , -   ,532,3,126,,WDWTH,NWPRT,ZNBEN,,,,,,,,,,
3039, -   , -   ,532,24,121,,LNDHT,NWPRT,WNNPT,,,,CLCJA,,,,,,
3040, -   , -   ,532,56,121,,,NWPRT,WNNPT,WKGN,,,,,,,,,
3041, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,,,,,,
3042, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,,NLFPA,,,,
3043, -   , -   ,532,3,126,,,NWPRT,,ZION,,,,,,,,,
3044, -   , -   ,532,3,126,,BCHPK,NWPRT,,,,,,,BPRK6,,,,
3045,"22,777,911",9.406212,532,56,121,,BCHPK,NWPRT,WNNPT,,,,,,BPRK6,,,,
3046, -   , -   ,532,3,121,,WDWTH,NWPRT,WNNPT,,,,,,,,,,
3047,"13,776",12.387195,532,3,126,,BCHPK,NWPRT,WNNPT,,,,,,,,,,
3048,"56,563",12.387195,532,3,126,,,NWPRT,WNNPT,,,,,,NLFPA,,,,
3049,"23,248,696",12.387195,532,3,126,,BCHPK,NWPRT,WNNPT,,,,,,BPRK6,,,,
3050, -   , -   ,532,56,121,,,NWPRT,WNNPT,,,,,,BPRK6,,,,
3051, -   , -   ,532,34,117,,,NWPRT,ANTIO,,,,,ANTCC,NLFPA,,,,
3052, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,ANTCC,NLFPA,,,,
3053, -   , -   ,532,3,121,,WKGN,,,,NOSHR,,,,,,,,
3054, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,WKGN,NOSHR,,,,,,,,
3055, -   , -   ,532,56,121,,WKGN,,,,NOSHR,,,,,,,,
3056, -   , -   ,532,3,121,,BCHPK,NWPRT,WNNPT,,NOSHR,,,,,,,,
3057, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,,,,,BCPK4,BPRK6,,,,
3058, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,,,,,BCPK4,,,,,
3059, -   , -   ,532,3,121,,BCHPK,NWPRT,WNNPT,,,,,BCPK4,,,,,
3060, -   , -   ,532,3,121,,BCHPK,NWPRT,WNNPT,,NOSHR,,,BCPK4,,,,,
3061, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,WKGN,,,,BCPK4,,,,,
3062, -   , -   ,532,34,117,,ANTIO,NWPRT,ANTIO,,,,,,,,,,
3063, -   ,12.849655,532,3,126,,BCHPK,BCHPK,WNNPT,,,,,,BPRK6,,,,
3064,"310,111",11.723525,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,,,,,,
3065,"29,784",11.723525,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,ANTCC,NLFPA,,,,
3066, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,,NOSHR,,,BCPK4,,,,,
3067,"241,216",10.296194,532,56,121,,WDWTH,NWPRT,WNNPT,,,,,,,,,,
3068,"79,063",10.297699,532,56,121,,WDWTH,NWPRT,WNNPT,,,,,,,,,,
3069, -   , -   ,532,56,121,,WDWTH,NWPRT,WNNPT,,NOSHR,,,,,,,,
3070, -   , -   ,532,3,126,,WDWTH,NWPRT,WNNPT,,NOSHR,,,,,,,,
3071, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,,NOSHR,,,,BPRK6,,,,
3072, -   , -   ,532,3,126,,BCHPK,NWPRT,WNNPT,,NOSHR,,,,,,,,
3073, -   , -   ,532,3,126,,BCHPK,NWPRT,WNNPT,,NOSHR,,,,BPRK6,,,,
3074, -   , -   ,532,56,121,,BCHPK,NWPRT,WNNPT,,NOSHR,,,BCPK4,BPRK6,,,,
4001, -   , -   ,532,114,124,,FOXLK,,FOXLK,,,,,,,,,,
4002, -   , -   ,532,114,117,,,,ANTIO,,,,,,,,,,
4003,"29,318,079",8.828605,532,114,124,,,FOXLK,ANTIO,,,,,,,,,,
4004, -   , -   ,532,114,124,,,,ANTIO,,,,,,,,,,
4005,"1,962,955",12.469378,532,24,117,,,ANTIO,ANTIO,,,,,,,,,,
4006,"58,015",10.351018,532,34,117,,,,ANTIO,,,,,,,,,,
4007,"48,077,135",10.118462,532,33,117,,,ANTIO,ANTIO,,,,,,,,,,
4008,"57,744",11.375358,532,34,117,,ANTIO,,ANTIO,,,,,,,,,,
4009, -   , -   ,532,2,157,,,,ANTIO,,,,,,,,,,
4010,"116,946,502",10.90691,532,34,117,,,ANTIO,ANTIO,,,,,,,,,,
4011, -   , -   ,532,33,117,,ANTIO,,ANTIO,,,,,,,,,,
4012,"84,455,405",10.190005,532,36,117,,,ANTIO,ANTIO,,,,,,,,,,
4013,"5,386,995",10.652835,532,41,117,,,ANTIO,ANTIO,,,,,,,,,,
4014, -   , -   ,532,114,124,,FOXLK,,ANTIO,,,,,,,,,,
4015, -   ,9.869823,532,114,117,,,ANTIO,ANTIO,,,,,,,,,,
4016, -   ,2.487997,532,2,157,,,ANTIO,ANTIO,,,,,,,,,,
4017, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,ANTIO,,,,,
4018,"193,465",11.915456,532,34,117,,LKVLA,ANTIO,ANTIO,,,,CLCJA,,,,,,
4019,"3,637",11.207497,532,34,117,,FOXLK,,ANTIO,,,,,,,,,,
