TCA, Agg Ext ,Agg Rate,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
02002,"219,323",13.334945,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
02003,"242,086,047",14.293636,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,
02004,"33,905",14.133917,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,,,,,,,,,,,,B12126,,,,
02005,,13.175226,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,,,,,,,,,,,,,B12126,,,,
02006,"4,954,992",12.887794,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
02007,"63,043",12.770696,CTYLAK,FORLAK,T02ZIO,,C03532,E01001,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,
02008,,13.047513,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,(From BP San)
02009,,12.088822,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
02010,"881,362",11.929103,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
02011, -   ,12.088822,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
02012,,11.588038,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,,,,,,,,,,,,,,B06003,B12126,,,
02013,"22,079",12.546729,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
02014,,14.293636,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X53TIF,,,,,,B12126,,,,
02015,,13.047513,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X54TIF,,,,,,B06003,B12126,,,
02016,"2,443,751",13.047513,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X55TIF,,,,,,B06003,B12126,,,
02017,"391,566",14.293636,CTYLAK,FORLAK,T02ZIO,,C03532,E04006,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X55TIF,,,,,,B12126,,,,
02018,,13.047513,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,,L15ZBE,P23ZIO,S05NSH,,,,,X55TIF,,,,,,B06003,B12126,,,
02019,,11.812005,CTYLAK,FORLAK,T02ZIO,,C03532,E01001,H08126,,M55ZIO,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
02020,,12.160083,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
02021,,12.326842,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F18NEW,,,,,,,,,,,,,,B06003,B12126,,,
02022,,13.118774,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F23WHA,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
02023,,12.486561,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F18NEW,,,S05NSH,,,,,,,,,,,B06003,B12126,,,
02024,,13.445252,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F18NEW,,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
02025,,13.285533,CTYLAK,FORLAK,T02ZIO,,C03532,E03003,H08126,,M55ZIO,F18NEW,,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
